Gene stable ID	Gene name	Chromosome/scaffold name
ENSMUSG00000036106	Prr5	15
ENSMUSG00000016344	Ppdpf	2
ENSMUSG00000035172	Plekhh3	11
ENSMUSG00000038751	Ptk6	2
ENSMUSG00000053687	Dpep2	8
ENSMUSG00000031898	Dpep3	8
ENSMUSG00000055003	Lrtm2	6
ENSMUSG00000027579	Srms	2
ENSMUSG00000115768	Dpep2nb	8
ENSMUSG00000031901	Dus2	8
ENSMUSG00000063317	Usp31	7
ENSMUSG00000021680	Crhbp	13
ENSMUSG00000115067	Dpep2	8
ENSMUSG00000001305	Rrp15	1
ENSMUSG00000021679	S100z	13
ENSMUSG00000021678	F2rl1	13
ENSMUSG00000045538	Ddx28	8
ENSMUSG00000048376	F2r	13
ENSMUSG00000047992	Fam69c	18
ENSMUSG00000030265	Kras	6
ENSMUSG00000001017	Chtop	3
ENSMUSG00000021675	F2rl2	13
ENSMUSG00000078954	Arhgap8	15
ENSMUSG00000025140	Pycr1	11
ENSMUSG00000040370	Etfrf1	6
ENSMUSG00000089694	Nat8f7	6
ENSMUSG00000027304	Rtf1	2
ENSMUSG00000047841	Fndc11	2
ENSMUSG00000030168	Adipor2	6
ENSMUSG00000025521	Tmem192	8
ENSMUSG00000027580	Helz2	2
ENSMUSG00000042988	Notum	11
ENSMUSG00000022892	App	16
ENSMUSG00000039224	D1Pas1	1
ENSMUSG00000051111	Sv2c	13
ENSMUSG00000025141	Myadml2	11
ENSMUSG00000114133	Gm20075	13
ENSMUSG00000099115	Gm17190	13
ENSMUSG00000024646	Cyb5a	18
ENSMUSG00000044349	Snhg11	2
ENSMUSG00000054966	Lmntd1	6
ENSMUSG00000040249	Lrp1	10
ENSMUSG00000042524	Sun2	15
ENSMUSG00000030019	Fbxl14	6
ENSMUSG00000030170	Wnt5b	6
ENSMUSG00000067338	Tuba3b	6
ENSMUSG00000038705	Gmeb2	2
ENSMUSG00000021671	Poc5	13
ENSMUSG00000047117	Ankdd1b	13
ENSMUSG00000030259	Rassf8	6
ENSMUSG00000039754	Alkbh4	5
ENSMUSG00000030256	Bhlhe41	6
ENSMUSG00000038683	Pak1ip1	13
ENSMUSG00000000216	Scnn1g	7
ENSMUSG00000051262	Nat8f3	6
ENSMUSG00000027652	Ralgapb	2
ENSMUSG00000021360	Gcnt2	13
ENSMUSG00000079494	Nat8f5	6
ENSMUSG00000030255	Sspn	6
ENSMUSG00000079495	Nat8f6	6
ENSMUSG00000030004	Nat8	6
ENSMUSG00000049916	2610318N02Rik	16
ENSMUSG00000027581	Stmn3	2
ENSMUSG00000038227	Hoxa9	6
ENSMUSG00000033634	Nat8f2	6
ENSMUSG00000027296	Itpka	2
ENSMUSG00000034391	Fbxo15	18
ENSMUSG00000022828	Gtf2e1	16
ENSMUSG00000026611	Spata17	1
ENSMUSG00000030172	Erc1	6
ENSMUSG00000027303	Ptpra	2
ENSMUSG00000028163	Nfkb1	3
ENSMUSG00000044080	S100a1	3
ENSMUSG00000000938	Hoxa10	6
ENSMUSG00000024647	Cbln2	18
ENSMUSG00000037740	Mrps26	2
ENSMUSG00000044405	Adig	2
ENSMUSG00000053469	Tg	15
ENSMUSG00000074625	Arhgap40	2
ENSMUSG00000068299	Nat8f4	6
ENSMUSG00000038210	Hoxa11	6
ENSMUSG00000037771	Slc32a1	2
ENSMUSG00000022827	Rabl3	16
ENSMUSG00000056153	Socs6	18
ENSMUSG00000022372	Sla	15
ENSMUSG00000054226	Tprkb	6
ENSMUSG00000021668	Polk	13
ENSMUSG00000027297	Ltk	2
ENSMUSG00000023050	Map3k12	15
ENSMUSG00000071089	Trim75	8
ENSMUSG00000042312	S100a13	3
ENSMUSG00000039747	Orai2	5
ENSMUSG00000109718	Trim61	8
ENSMUSG00000053490	Trim60	8
ENSMUSG00000057103	Nat8f1	6
ENSMUSG00000079042	Apela	8
ENSMUSG00000038203	Hoxa13	6
ENSMUSG00000056851	Pcbp2	15
ENSMUSG00000016624	Phf21b	15
ENSMUSG00000031902	Nfatc3	8
ENSMUSG00000030873	Scnn1b	7
ENSMUSG00000041134	Cyyr1	16
ENSMUSG00000034951	Cog7	7
ENSMUSG00000027301	Oxt	2
ENSMUSG00000084128	Esrp2	8
ENSMUSG00000037727	Avp	2
ENSMUSG00000022769	Sdf2l1	16
ENSMUSG00000037761	Actr5	2
ENSMUSG00000070866	Zfp804a	2
ENSMUSG00000034028	Cd226	18
ENSMUSG00000042306	S100a14	3
ENSMUSG00000037754	Ppp1r16b	2
ENSMUSG00000005503	Evx1	6
ENSMUSG00000079043	Fastkd5	2
ENSMUSG00000027300	Ubox5	2
ENSMUSG00000022768	Ccdc116	16
ENSMUSG00000053897	Slc39a8	3
ENSMUSG00000022893	Adamts1	16
ENSMUSG00000030166	Rad52	6
ENSMUSG00000041774	Ydjc	16
ENSMUSG00000100967	Gm29666	15
ENSMUSG00000038965	Ube2l3	16
ENSMUSG00000037703	Lzts3	2
ENSMUSG00000073514	Dok6	18
ENSMUSG00000022894	Adamts5	16
ENSMUSG00000022821	Hgd	16
ENSMUSG00000027654	Fam83d	2
ENSMUSG00000068290	Ddrgk1	2
ENSMUSG00000039737	Prkrip1	5
ENSMUSG00000074300	BC030870	8
ENSMUSG00000016619	Nup50	15
ENSMUSG00000074457	S100a16	3
ENSMUSG00000021669	Col4a3bp	13
ENSMUSG00000030002	Dusp11	6
ENSMUSG00000074797	Itpa	2
ENSMUSG00000039210	Gpatch2	1
ENSMUSG00000021670	Hmgcr	13
ENSMUSG00000036046	5031439G07Rik	15
ENSMUSG00000044442	N6amt1	16
ENSMUSG00000075249	Fsip2	2
ENSMUSG00000027655	Dhx35	2
ENSMUSG00000030001	Figla	6
ENSMUSG00000022435	Upk3a	15
ENSMUSG00000036469	March1	8
ENSMUSG00000074796	Slc4a11	2
ENSMUSG00000022434	Fam118a	15
ENSMUSG00000105518	Gm42674	3
ENSMUSG00000001021	S100a3	3
ENSMUSG00000001020	S100a4	3
ENSMUSG00000005057	Sh2b2	5
ENSMUSG00000052299	Ltn1	16
ENSMUSG00000030287	Itpr2	6
ENSMUSG00000045962	Wnk1	6
ENSMUSG00000041079	Rwdd2b	16
ENSMUSG00000030872	Gga2	7
ENSMUSG00000022432	Smc1b	15
ENSMUSG00000030000	Add2	6
ENSMUSG00000006920	Ezh1	11
ENSMUSG00000042333	Tnfrsf14	4
ENSMUSG00000001023	S100a5	3
ENSMUSG00000040250	Ints13	6
ENSMUSG00000027309	4930402H24Rik	2
ENSMUSG00000001025	S100a6	3
ENSMUSG00000023008	Fmnl3	15
ENSMUSG00000040242	Fgfr1op2	6
ENSMUSG00000027091	Zc3h15	2
ENSMUSG00000063767	S100a7a	3
ENSMUSG00000026610	Esrrg	1
ENSMUSG00000022431	Ribc2	15
ENSMUSG00000056054	S100a8	3
ENSMUSG00000074623	Gm826	2
ENSMUSG00000048001	Hes5	4
ENSMUSG00000074622	Mafb	2
ENSMUSG00000041377	Ninj2	6
ENSMUSG00000025591	Tma16	8
ENSMUSG00000056071	S100a9	3
ENSMUSG00000025616	Usp16	16
ENSMUSG00000070544	Top1	2
ENSMUSG00000071636	Rimbp3	16
ENSMUSG00000109561	Ankrd31	13
ENSMUSG00000025613	Cct8	16
ENSMUSG00000030871	Ears2	7
ENSMUSG00000030870	Ubfd1	7
ENSMUSG00000041372	B4galnt3	6
ENSMUSG00000042250	Pglyrp4	3
ENSMUSG00000091387	Gcnt4	13
ENSMUSG00000052075	1700029F12Rik	13
ENSMUSG00000021557	Agtpbp1	13
ENSMUSG00000021665	Hexb	13
ENSMUSG00000022765	Snap29	16
ENSMUSG00000041720	Pi4ka	16
ENSMUSG00000057762	Gm6169	13
ENSMUSG00000021666	Gfm2	13
ENSMUSG00000038685	Rtel1	2
ENSMUSG00000022766	Serpind1	16
ENSMUSG00000050240	Hic2	16
ENSMUSG00000055692	Tmem191c	16
ENSMUSG00000060739	Nsa2	13
ENSMUSG00000041817	Fam169a	13
ENSMUSG00000025519	Tktl2	8
ENSMUSG00000030177	Ccdc77	6
ENSMUSG00000078656	Vps25	11
ENSMUSG00000030180	Kdm5a	6
ENSMUSG00000006369	Fbln1	15
ENSMUSG00000001240	Ramp2	11
ENSMUSG00000044014	Npy5r	8
ENSMUSG00000091175	9130204L05Rik	3
ENSMUSG00000029999	Tgfa	6
ENSMUSG00000029056	Pank4	4
ENSMUSG00000016541	Atxn10	15
ENSMUSG00000057497	Fam136a	6
ENSMUSG00000036437	Npy1r	8
ENSMUSG00000096607	7530416G11Rik	15
ENSMUSG00000042244	Pglyrp3	3
ENSMUSG00000057278	Snrpg	6
ENSMUSG00000043165	Lor	3
ENSMUSG00000056270	Prr9	3
ENSMUSG00000027927	Lelp1	3
ENSMUSG00000014907	Naf1	8
ENSMUSG00000027312	Atrn	2
ENSMUSG00000022382	Wnt7b	15
ENSMUSG00000016933	Plcg1	2
ENSMUSG00000035877	Zhx3	2
ENSMUSG00000029998	Pcyox1	6
ENSMUSG00000027412	Lpin3	2
ENSMUSG00000002897	Il17ra	6
ENSMUSG00000094626	Tmem121b	6
ENSMUSG00000058979	Hdhd5	6
ENSMUSG00000071226	Cecr2	6
ENSMUSG00000023010	Tmbim6	15
ENSMUSG00000050700	Emilin3	2
ENSMUSG00000041773	Enc1	13
ENSMUSG00000004902	Slc25a18	6
ENSMUSG00000019210	Atp6v1e1	6
ENSMUSG00000057133	Chd6	2
ENSMUSG00000009112	Bcl2l13	6
ENSMUSG00000004446	Bid	6
ENSMUSG00000069117	Gm10260	13
ENSMUSG00000023009	Nckap5l	15
ENSMUSG00000053141	Ptprt	2
ENSMUSG00000037525	Bcdin3d	15
ENSMUSG00000021662	Arhgef28	13
ENSMUSG00000040234	Tm7sf3	6
ENSMUSG00000030291	Med21	6
ENSMUSG00000051586	Mical3	6
ENSMUSG00000001630	Stk38l	6
ENSMUSG00000040187	Arntl2	6
ENSMUSG00000016921	Srsf6	2
ENSMUSG00000023011	Faim2	15
ENSMUSG00000041747	Utp15	13
ENSMUSG00000035576	L3mbtl1	2
ENSMUSG00000027582	Zgpat	2
ENSMUSG00000067825	Pex26	6
ENSMUSG00000038671	Arfrp1	2
ENSMUSG00000090077	Lime1	2
ENSMUSG00000030292	Smco2	6
ENSMUSG00000040163	1700034J05Rik	6
ENSMUSG00000016487	Ppfibp1	6
ENSMUSG00000040121	Rep15	6
ENSMUSG00000040112	Mrps35	6
ENSMUSG00000027583	Zbtb46	2
ENSMUSG00000072662	Mansc4	6
ENSMUSG00000040102	Klhl42	6
ENSMUSG00000055882	Abhd16b	2
ENSMUSG00000048776	Pthlh	6
ENSMUSG00000030301	Ccdc91	6
ENSMUSG00000030304	Ergic2	6
ENSMUSG00000030303	Far2	6
ENSMUSG00000000827	Tpd52l2	2
ENSMUSG00000000826	Dnajc5	2
ENSMUSG00000023051	Tarbp2	15
ENSMUSG00000030306	Tmtc1	6
ENSMUSG00000099083	Atf7	15
ENSMUSG00000023052	Npff	15
ENSMUSG00000052414	Gm28047	15
ENSMUSG00000000823	Zfp512b	2
ENSMUSG00000089917	Uckl1	2
ENSMUSG00000002455	Prpf6	2
ENSMUSG00000038605	Samd10	2
ENSMUSG00000040029	Ipo8	6
ENSMUSG00000030309	Caprin2	6
ENSMUSG00000039985	Fam60a	6
ENSMUSG00000030313	Dennd5b	6
ENSMUSG00000108976	Gm29797	2
ENSMUSG00000039958	Etfbkmt	6
ENSMUSG00000046470	Sox18	2
ENSMUSG00000068250	Amn1	6
ENSMUSG00000059540	Tcea2	2
ENSMUSG00000032712	2810474O19Rik	6
ENSMUSG00000002458	Rgs19	2
ENSMUSG00000062683	Atp5g2	15
ENSMUSG00000003452	Bicd1	6
ENSMUSG00000045794	Lkaaear1	2
ENSMUSG00000027584	Oprl1	2
ENSMUSG00000023055	Calcoco1	15
ENSMUSG00000010505	Myt1	2
ENSMUSG00000001655	Hoxc13	15
ENSMUSG00000050328	Hoxc12	15
ENSMUSG00000001656	Hoxc11	15
ENSMUSG00000001661	Hoxc6	15
ENSMUSG00000001657	Hoxc8	15
ENSMUSG00000022484	Hoxc10	15
ENSMUSG00000036139	Hoxc9	15
ENSMUSG00000022485	Hoxc5	15
ENSMUSG00000027589	Pcmtd2	2
ENSMUSG00000038628	Polr3k	2
ENSMUSG00000098505	Gm14496	2
ENSMUSG00000075394	Hoxc4	15
ENSMUSG00000036061	Smug1	15
ENSMUSG00000009575	Cbx5	15
ENSMUSG00000046434	Hnrnpa1	15
ENSMUSG00000058794	Nfe2	15
ENSMUSG00000060992	Copz1	15
ENSMUSG00000063234	Gpr84	15
ENSMUSG00000000552	Zfp385a	15
ENSMUSG00000000555	Itga5	15
ENSMUSG00000022487	Gtsf1	15
ENSMUSG00000053508	Gtsf2	15
ENSMUSG00000022488	Nckap1l	15
ENSMUSG00000022489	Pde1b	15
ENSMUSG00000022490	Ppp1r1a	15
ENSMUSG00000022491	Glycam1	15
ENSMUSG00000060311	Mucl1	15
ENSMUSG00000036925	Mucl2	15
ENSMUSG00000024379	Tslp	18
ENSMUSG00000094211	Gm21789	X
ENSMUSG00000033949	Trim36	18
ENSMUSG00000043782	Bicdl2	17
ENSMUSG00000024427	Spry4	18
ENSMUSG00000094474	AC123873.2	JH584299.1
ENSMUSG00000052026	Slc6a7	18
ENSMUSG00000024481	Lvrn	18
ENSMUSG00000024537	Psmg2	18
ENSMUSG00000062328	Rpl17	18
ENSMUSG00000041238	Rbbp8	18
ENSMUSG00000035765	Dym	18
ENSMUSG00000024042	Sik1	17
ENSMUSG00000094887	AC163611.2	JH584299.1
ENSMUSG00000006850	Tmco6	18
ENSMUSG00000044982	Sft2d3	18
ENSMUSG00000023886	Smoc2	17
ENSMUSG00000090700	Cyp4f40	17
ENSMUSG00000095280	Gm21738	14
ENSMUSG00000079546	Gm11146	16
ENSMUSG00000034300	Fam53c	18
ENSMUSG00000095558	Btbd35f9	X
ENSMUSG00000095247	Ccl27	JH584293.1
ENSMUSG00000079834	Tmlhe	GL456233.1
ENSMUSG00000069743	Zfp820	17
ENSMUSG00000023350	4921501E09Rik	17
ENSMUSG00000095779	Gm2163	4
ENSMUSG00000023908	Pkmyt1	17
ENSMUSG00000094487	Gm21958	3
ENSMUSG00000079016	Gm11034	8
ENSMUSG00000057411	Fam173a	17
